url	first_seen	portal	title	company	status	location
https://jobs.smartrecruiters.com/Experian/postings/744000131870821	2026-06-16	smartrecruiters-api	Cloud Engineer	Experian	added	Hyderabad, , India
https://jobs.smartrecruiters.com/Experian/postings/744000131383129	2026-06-16	smartrecruiters-api	Site Reliability Engineering Lead	Experian	added	Hyderabad, , India
https://jobs.smartrecruiters.com/Experian/postings/744000127759719	2026-06-16	smartrecruiters-api	Senior DevOps Engineer	Experian	added	Heredia, Heredia, Costa Rica, Remote
https://mastercard.wd1.myworkdayjobs.com/CorporateCareers/job/Pune-India/Senior-BizOps-Engineer_R-268252	2026-06-16	workday-api	Senior Site Reliability Engineer	Mastercard	added	Pune, India
https://job-boards.greenhouse.io/zscaler/jobs/5128594007	2026-06-19	greenhouse-api	Sr. Software Development Engineer - Python Automation / Kubernetes / Networking	Zscaler	added	Bangalore, IND
https://www.okta.com/company/careers/opportunity/8003315?gh_jid=8003315	2026-06-19	greenhouse-api	SRE Operations Engineer	Okta	added	Bengaluru, India
https://www.okta.com/company/careers/opportunity/7840544?gh_jid=7840544	2026-06-19	greenhouse-api	Staff Site Reliability Engineer	Okta	added	Bengaluru, India
https://www.okta.com/company/careers/opportunity/8015032?gh_jid=8015032	2026-06-19	greenhouse-api	Staff Site Reliability Engineer - (Infra)	Okta	added	Bengaluru, India
https://jobs.smartrecruiters.com/Freshworks/postings/744000132768109	2026-06-19	smartrecruiters-api	Senior Software Engineer - Site Reliability	Freshworks	added	Chennai, , India
https://thomsonreuters.wd5.myworkdayjobs.com/External_Career_Site/job/United-States-of-America-Frisco-Texas/Staff-Platform-Engineer---Materia-AI_JREQ201491	2026-06-19	workday-api	Staff Platform Engineer - Materia AI	Thomson Reuters	added	
https://mastercard.wd1.myworkdayjobs.com/CorporateCareers/job/Pune-India/Lead--Platform-Engineering_R-274016-1	2026-06-19	workday-api	Lead, Platform Engineering	Mastercard	added	Pune, India
https://mastercard.wd1.myworkdayjobs.com/CorporateCareers/job/Pune-India/Senior-Site-Reliability-Engineer_R-279351	2026-06-19	workday-api	Senior Site Reliability Engineer	Mastercard	added	Pune, India
https://mastercard.wd1.myworkdayjobs.com/CorporateCareers/job/Pune-India/Manager--Site-Reliability-Engineering_R-277525	2026-06-19	workday-api	Manager, Site Reliability Engineering	Mastercard	added	Pune, India
https://visa.wd5.myworkdayjobs.com/Visa/job/IN---Bengaluru-India/Sr-Systems-Engineer--Mac-_REF083203W	2026-06-19	workday-api	Sr. Systems Engineer (Mac)	Visa	added	IN - Bengaluru, India
https://visa.wd5.myworkdayjobs.com/Visa/job/IN---Bengaluru-India/Sr-Systems-Engineer--Windows-_REF083205W	2026-06-19	workday-api	Sr. Systems Engineer (Windows)	Visa	added	IN - Bengaluru, India
https://in.indeed.com/viewjob?jk=fe8148ae1f39032a	2026-06-19	jobspy-indeed	DevOps Engineer	Stacwell Rubber	added	Bengaluru, Karnataka
https://in.indeed.com/viewjob?jk=f6e1360147aa70da	2026-06-19	jobspy-indeed	Full Stack Developer & Devops Engineer	Probill RCM	added	Chandigarh, Chandigarh
https://in.indeed.com/viewjob?jk=293b2fc3ae85c1d9	2026-06-19	jobspy-indeed	Application Developer – DevOps Ref No: 26-38090	Clock Edge Technologies Pvt Lt	added	Bengaluru, Karnataka
https://in.indeed.com/viewjob?jk=a320c323cadc21d1	2026-06-19	jobspy-indeed	DevOps Engineer – Job Support (Freelance | Part-Time | Remote)	Intellion Technologies Pvt Ltd	added	Remote
https://in.indeed.com/viewjob?jk=5cd02bb224b9a440	2026-06-19	jobspy-indeed	Infrastructure Engineer III-DevOps	JPMorganChase	added	Mumbai, Maharashtra
https://www.linkedin.com/jobs/view/4402266454	2026-06-19	jobspy-linkedin	DevOps Engineer	Thales	added	
https://www.linkedin.com/jobs/view/4418220024	2026-06-19	jobspy-linkedin	AWS SRE Hiring	Infosys	added	
https://www.linkedin.com/jobs/view/4428466583	2026-06-19	jobspy-linkedin	Fresher -  Cloud DevOps Engineer	Gravitix Tech	added	
https://www.linkedin.com/jobs/view/4408658245	2026-06-19	jobspy-linkedin	DevOps Engineer	Endava	added	
https://www.linkedin.com/jobs/view/4428811656	2026-06-19	jobspy-linkedin	DevOps Engineer	Zopper	added	
https://www.linkedin.com/jobs/view/4414096538	2026-06-19	jobspy-linkedin	Associate Engineer- AWS Devops	HARMAN India	added	
https://www.linkedin.com/jobs/view/4406232550	2026-06-19	jobspy-linkedin	DevOps Engineer	hackajob	added	
https://www.linkedin.com/jobs/view/4425268248	2026-06-19	jobspy-linkedin	Site Reliability Engineer	PwC India	added	
https://www.linkedin.com/jobs/view/4392840761	2026-06-19	jobspy-linkedin	Devops Engineer	Infosys	added	
